Tên,Lineage,Issues,URI
"Chương Nghĩa Thanh Tuyền","","Bio quá ngắn hoặc trống",
"Chương Tường Vĩnh Ðiền","","Bio quá ngắn hoặc trống",
"Toàn Ðịnh Bảo Tạng","","Bio quá ngắn hoặc trống",
"Toàn Tín Ðức Thành","","Bio quá ngắn hoặc trống",
"Khánh Thiện Tông Chấn","","Bio quá ngắn hoặc trống",
"Thành Nhạc Ẩn Sơn","","Bio quá ngắn hoặc trống",
"Thành Chí Minh Dung","","Bio quá ngắn hoặc trống",
"Minh Phụng","","Bio quá ngắn hoặc trống",
"Thành Ngộ Nghiêm Am","","Bio quá ngắn hoặc trống",
"Tổ Nhân Thiên Trường","","Bio quá ngắn hoặc trống",
"Hàng Thông Dư","","Bio quá ngắn hoặc trống",
"Phần Dương Thảng","","Bio quá ngắn hoặc trống",
"Tân La Thành Hư","","Bio quá ngắn hoặc trống",
"Tân La Lãng","","Bio quá ngắn hoặc trống",
"Ức Châu Thủ Nhàn","","Bio quá ngắn hoặc trống",
"Đại Lương Hồng Phương","","Bio quá ngắn hoặc trống",
"Cát Châu Giản Chi","","Bio quá ngắn hoặc trống",
"Trấn Châu Hồng Tế","","Bio quá ngắn hoặc trống",
"Hứa Châu Khánh Thọ","","Bio quá ngắn hoặc trống",
"Thương Châu Cao Minh","","Bio quá ngắn hoặc trống",
"Vận Châu Chánh Giác","","Bio quá ngắn hoặc trống",
"Trấn Châu Linh Thọ","","Bio quá ngắn hoặc trống",
"Hoạt Châu Quán Âm","","Bio quá ngắn hoặc trống",
"Hồng Châu Lộc Nguyên","","Bio quá ngắn hoặc trống",
"Lộ Phủ Bàn Đình Tông Mẫn","","Bio quá ngắn hoặc trống",
"Hàng Châu Long Tuyền Kính","","Bio quá ngắn hoặc trống",
"Dĩnh Châu Đại Dương","","Bio quá ngắn hoặc trống",
"Tân La Khâm Trung","","Bio quá ngắn hoặc trống",
"Tân La Hành Tịch","","Bio quá ngắn hoặc trống",
"Tề Kỷ","","Bio quá ngắn hoặc trống",
"Tú Tài Trương Chuyết","","Bio quá ngắn hoặc trống",
"Linh Ẩn Sùng Nhạc","","Bio quá ngắn hoặc trống",
"Tổ Đức Bảo Tạng","","Bio quá ngắn hoặc trống",
"Vạn Phong Thời Ủy","","Bio quá ngắn hoặc trống",
"Đạo Minh Huệ Sảm","","Bio quá ngắn hoặc trống",
"Đại Dương Cảnh Huyền","","Bio quá ngắn hoặc trống",
"Sùng Thắng Trí Thông","","Bio quá ngắn hoặc trống",
"Hối Thúc Vương Thự","","Bio quá ngắn hoặc trống",
"Bạch Mã Quy Xuân","","Bio quá ngắn hoặc trống",
"Đại Dương Kỳ","","Bio quá ngắn hoặc trống",
"Tứ Tổ Xử Nhân","","Bio quá ngắn hoặc trống",
"Phương Quảng Long","","Bio quá ngắn hoặc trống",
"Thừa Thiên Tông","","Bio quá ngắn hoặc trống",
"Phước Nghiêm Hiền","","Bio quá ngắn hoặc trống",
"An Châu Diên Phước","","Bio quá ngắn hoặc trống",
"Thái Bình Tuệ Không","","Bio quá ngắn hoặc trống",
"Vân Môn Bảo Ấn","","Bio quá ngắn hoặc trống",
"Động Sơn Tồn","","Bio quá ngắn hoặc trống",
"La Phù Viễn","","Bio quá ngắn hoặc trống",
"Giác Thành Ðạo Tề","","Bio quá ngắn hoặc trống",
"Tư Phước Thừa","","Bio quá ngắn hoặc trống",
"Tứ Tổ Hải","","Bio quá ngắn hoặc trống",
"Trường Linh Thủ Trác","","Bio quá ngắn hoặc trống",
"Long Hoa Bản","","Bio quá ngắn hoặc trống",
"Tường Thanh Quảng Tùng","","Bio quá ngắn hoặc trống",
"Quế Dương Long Phước Chân","","Bio quá ngắn hoặc trống",
"Tuyết Đậu Toại","","Bio quá ngắn hoặc trống",
"Năng Nhân Lý","","Bio quá ngắn hoặc trống",
"Bảo Phước Ngộ","","Bio quá ngắn hoặc trống",
"Ô Cự Quang","","Bio quá ngắn hoặc trống",
"Phụng Hoàng Thế Dao","","Bio quá ngắn hoặc trống",
"Quảng Tuệ Pháp Thông","","Bio quá ngắn hoặc trống",
"Quy Tông Minh","","Bio quá ngắn hoặc trống",
"Đại Dương Mãn","","Bio quá ngắn hoặc trống",
"Tùy Châu Tu Sơn","","Bio quá ngắn hoặc trống",
"Đại Thừa Thăng","","Bio quá ngắn hoặc trống",
"Võ Đang Phật Nham","","Bio quá ngắn hoặc trống",
"Tiến Phước Trạch Sùng","","Bio quá ngắn hoặc trống",
"Khai Nguyên Tự","","Bio quá ngắn hoặc trống",
"Phù Châu Thiện Nhã","","Bio quá ngắn hoặc trống",
"Đơn Châu Đông Thiền","","Bio quá ngắn hoặc trống",
"Kinh Triệu Bàn Long","","Bio quá ngắn hoặc trống",
"Gia Châu Đặng Khê","","Bio quá ngắn hoặc trống",
