"monk","label"
"ex:monk/hoa_lam_giac","Hoa Lâm Giác"
"ex:monk/hoa_lam_thien_giac","Hoa Lâm Thiện Giác"
"ex:monk/hoa_nghiem_pho_tu","Hoa Nghiêm Phổ Tư"
"ex:monk/hoa_nghiem_to_giac","Hoa Nghiêm Tổ Giác"
"ex:monk/hoa_nghiem_dao_long","Hoa Nghiêm Ðạo Long"
"ex:monk/hoa_tang_an_dan","Hoa Tạng An Dân"
"ex:monk/hoa_tang_giac_thong","Hoa Tạng Giác Thông"
"ex:monk/hoa_tang_tri_tham","Hoa Tạng Trí Thâm"
"ex:monk/hoa_dinh_thuyen_tu_duc_thanh","Hoa Đình Thuyền Tử Đức Thành"
"ex:monk/hoang_ba_duy_thang","Hoàng Bá Duy Thắng"
"ex:monk/hoang_ba_hy_van","Hoàng Bá Hy Vận"
"ex:monk/hoang_ba_vinh_thai","Hoàng Bá Vĩnh Thái"
"ex:monk/tue_nhat_minh","Hoàng Bá Vĩnh Thái"
"ex:monk/hoang_ba_dao_toan","Hoàng Bá Ðạo Toàn"
"ex:monk/hoang_lien_nghia_so","Hoàng Liên Nghĩa Sơ"
"ex:monk/hoang_long_hue_nam","Hoàng Long Huệ Nam"
"ex:monk/hoang_long_ngo_tan","Hoàng Long Ngộ Tân"
"ex:monk/hoang_long_nhu_hieu","Hoàng Long Như Hiểu"
"ex:monk/hoang_long_phap_trung","Hoàng Long Pháp Trung"
"ex:monk/hoang_long_tri_minh","Hoàng Long Trí Minh"
"ex:monk/hoang_long_dao_quan","Hoàng Long Ðạo Quán"
"ex:monk/hoang_long_duc_phung","Hoàng Long Ðức Phùng"
"ex:monk/hoang_lau_dieu_tan","Hoàng Lầu Diệu Tấn"
"ex:monk/hoang_ba_hy_van","Hoàng_Bá_Hy_Vận"
"ex:monk/hoanh_hoa_nguyen_ngo","Hoành Hóa Nguyên Ngộ"
"ex:monk/hoat_ngo_long_tham","Hoát Ngộ Long Tham"
"ex:monk/hoac_son_canh_thong","Hoắc Sơn Cảnh Thông"
"ex:monk/hoang_chat","Hoằng Chất"
"ex:monk/hoang_nguyen","Hoằng Nguyện"
"ex:monk/hoang_tho","Hoằng Thọ"
"ex:monk/hoac_am_su_the","Hoặc Am Sư Thể"
"ex:monk/huyen_sa_hop_van","Huyền Sa Hợp Văn"
"ex:monk/huyen_sa_tang_chieu","Huyền Sa Tăng Chiêu"
"ex:monk/huyen_sach","Huyền Sách"
"ex:monk/hue_lam","Huệ Lâm"
"ex:monk/hue_trang","Huệ Tràng"
"ex:monk/hue_doan","Huệ Đoan"
"ex:monk/ha_bac_tri_hoang","Hà Bắc Trí Hoàng"
"ex:monk/ha_son_nhien","Hà Sơn Nhiên"
"ex:monk/ha_son_thu_tuan","Hà Sơn Thủ Tuân"
"ex:monk/ha_trung_cong_ky","Hà Trung Công Kỳ"
"ex:monk/ha_trach_than_hoi","Hà Trạch Thần Hội"
"ex:monk/hang_chau_so_nam","Hàng Châu Sở Nam"
"ex:monk/hang_chau_thien_long","Hàng Châu Thiên Long"
"ex:monk/hang_chau_van_hy","Hàng Châu Văn Hỷ"
"ex:monk/hang_chau_da_phuoc","Hàng Châu Đa Phước"
"ex:monk/hanh_nhac_phung_nang","Hành Nhạc Phụng Năng"
"ex:monk/hanh_nhac_dao_bien","Hành Nhạc Đạo Biện"
"ex:monk/han_nam_cao_dinh","Hán Nam Cao Đình"
"ex:monk/han_chau_da_dia","Hân Châu Đả Địa"
"ex:monk/hoa_son_chi_truyen","Hòa Sơn Chí Truyền"
"ex:monk/hoa_son_hue_phuong","Hòa Sơn Huệ Phương"
"ex:monk/hoa_son_duc_pho","Hòa Sơn Ðức Phổ"
"ex:monk/hu_chu_pho_do","Hư Chu Phổ Độ"
"ex:monk/hung_duong_hien","Hưng Dương Hiền"
"ex:monk/hung_giao_tue_thuan","Hưng Giáo Tuệ Thuân"
"ex:monk/hung_hoa_kha_do","Hưng Hóa Khả Ðô"
"ex:monk/hung_hoa_nhan_nhac","Hưng Hóa Nhân Nhạc"
"ex:monk/hung_hoa_phap_trung","Hưng Hóa Pháp Trừng"
"ex:monk/hung_hoa_thieu_thanh","Hưng Hóa Thiệu Thanh"
"ex:monk/hung_hoa_ton_tuong","Hưng Hóa Tồn Tương"
"ex:monk/hung_hoa_ton_tuong","Hưng Hóa Tồn Tưởng"
"ex:monk/hung_phuoc_khuong_nguyen","Hưng Phước Khương Nguyên"
"ex:monk/hung_quoc_chan_lang","Hưng Quốc Chấn Lãng"
"ex:monk/hung_quoc_khe_nha","Hưng Quốc Khế Nhã"
"ex:monk/huong_duong_hy_an","Hương Dương Hy Ẩn"
"ex:monk/huong_nghiem_nghia_doan","Hương Nghiêm Nghĩa Đoan"
"ex:monk/huong_nghiem_tri_nhan","Hương Nghiêm Trí Nhàn"
"ex:monk/huong_nghiem_dong_phu","Hương Nghiêm Ðộng Phu"
"ex:monk/huong_son_duy_duc","Hương Sơn Duy Đức"
"ex:monk/huong_son_uan_luong","Hương Sơn Uẩn Lương"
"ex:monk/hac_lam_huyen_to","Hạc Lâm Huyền Tố"
"ex:monk/hanh_dao_chung_hoa","Hạnh Đạo Chủng Hoa"
"ex:monk/hai_hoi_thu_tung","Hải Hội Thủ Tung"
"ex:monk/hac_nhan","Hắc Nhãn"
"ex:monk/hoi_duong_to_tam","Hối Đường Tổ Tâm"
"ex:monk/ho_nam_dong_tu_nhu_hoi","Hồ Nam Đông Tự Như Hội"
"ex:monk/hong_chau_me_linh","Hồng Châu Mễ Lĩnh"
"ex:monk/hong_chau_phap_dat","Hồng Châu Pháp Đạt"
"ex:monk/hong_chau_thuy_lao","Hồng Châu Thủy Lão"
"ex:monk/hong_chau_tay_son_luong","Hồng Châu Tây Sơn Lượng"
"ex:monk/hong_chau_dong_son_tue","Hồng Châu Đông Sơn Tuệ"
"ex:monk/hong_chuong_tri_duc","Hồng Chương Trí Đức"
"ex:monk/hong_dieu_thien_dao","Hồng Diệu Thiện Đạo"
"ex:monk/hong_lau_dieu_tan","Hồng Lầu Diệu Tấn"
"ex:monk/hong_minh_tu_hoi","Hồng Minh Từ Hội"
