STT,ID,Tên_Việt,Tên_Hán,Lat,Lon,Province,Source,Status,Mô_tả,Ghi_chú_Admin
158,PL000000000119,,閩,26.0352,119.3256,,DILA,master,,
159,PL000000000120,,殷,27.0376,118.3323,,DILA,master,,
160,PL000000000122,,江南國,32.0514,118.778,,DILA,master,,
161,PL000000000124,,後晉,34.7847,114.3525,,DILA,master,,
162,PL000000000125,,北楚,30.3496,112.1995,,DILA,master,,
163,PL000000000126,,馬楚政權,28.1973,112.9867,中國-湖南省;中國-廣西壯族自治區,DILA,master,,
164,PL000000000127,,苻秦,34.3288,108.9064,,DILA,master,,
165,PL000000000128,,南夏,29,118,,DILA,master,,
166,PL000000000129,,塞北,43.069726,107.636077,,DILA,master,,
167,PL000000000130,,元魏,34.72,112.61,中國-內蒙古自治區;中國-北京市;中國-天津市;中國-河北省;中國-山西省;中國-遼寧省;中國-江蘇省;中國-安徽省;中國-山東省;中國-河南省;中國-湖北省;中國-陝西省;中國-甘肅省;中國-寧夏回族自治區,DILA,master,,
168,PL000000000131,,司隸部,34.3194,108.8835,,DILA,master,,
169,PL000000000132,,朔方刺史部,38.96102,109.32494,,DILA,master,,
170,PL000000000133,,兗州刺史部,35.238737,116.090913,,DILA,master,,
171,PL000000000134,,豫州刺史部,32.821625,115.091325,,DILA,master,,
172,PL000000000135,,冀州刺史部,37.377044,114.972167,,DILA,master,,
173,PL000000000136,,南朝宋,32.0514,118.778,,DILA,master,,
174,PL000000000137,,石趙,37.0656,114.5037,,DILA,master,,
175,PL000000000138,,南梁,32.0514,118.778,,DILA,master,,
176,PL000000000139,,高齊,36.2701,114.4046,,DILA,master,,
177,PL000000000143,,河表,35.7899,118.6333,,DILA,master,,
178,PL000000000144,,西魏,34.3194,108.8835,,DILA,master,,
179,PL000000000145,,吳蜀,32.0514,118.778,,DILA,master,,
180,PL000000000147,,白山,32.051,118.778,中國-江蘇省-南京市,DILA,master,,
181,PL000000000149,,萬山,32.0039,112.1109,中國-湖北省-襄陽市-襄城區,DILA,master,,
182,PL000000000150,,大江,31.7578,121.1298,,DILA,master,,
183,PL000000000151,,溟渤,31.159222,125.634265,,DILA,master,,
184,PL000000000152,,渝水,29.568412,106.564471,中國-陝西省;中國-甘肅省;中國-四川省;中國-重慶市,DILA,master,,
185,PL000000000153,,南中國海,22.849602,116.282043,,DILA,master,,
186,PL000000000154,,潯陽,29.735762,115.985413,中國-江西省-九江市-潯陽區,DILA,master,,
187,PL000000000156,,勃海,39,119.59253,,DILA,master,,
188,PL000000000157,,蘭滄江,25.767924,99.218796,,DILA,master,,
189,PL000000000158,,麗水,26.202356,100.452936,,DILA,master,,
190,PL000000000159,,黑水河,25.521433,98.51035,,DILA,master,,
191,PL000000000161,,潁河,32.50357,116.51292,,DILA,master,,
192,PL000000000162,,清水洋,34,122,,DILA,master,,
193,PL000000000177,,禪林寺,32.0514,118.778,中國-江蘇省-南京市-鼓樓區,DILA,master,,
194,PL000000000191,,南嶺,25.166667,112.333333,,DILA,master,,
195,PL000000000193,,白水,38.102365,118.678433,,DILA,master,,
196,PL000000000194,,女媧山,39.04419,113.886529,中國-北京市;中國-河北省;中國-山西省;中國-河南省,DILA,master,,
197,PL000000000195,,淮甸,32.302817,119.705851,,DILA,master,,
198,PL000000000197,,東南,30,117,,DILA,master,,
199,PL000000000205,,智慧寺,23.1336,113.2643,,DILA,master,,
200,PL000000000206,,西陰寺,23.1336,113.2643,,DILA,master,,
201,PL000000000207,,建興寺,23.1336,113.2643,,DILA,master,,
202,PL000000000214,,三河,35,114,,DILA,master,,
203,PL000000000218,,幷州,37.7557,112.5009,,DILA,master,,
204,PL000000000219,,北直,39.9306,116.3779,,DILA,master,,
205,PL000000000220,,關東,37,112,,DILA,master,,
206,PL000000000221,,并州刺史部,39.12588,112.582867,,DILA,master,,
207,PL000000000222,,兩河,37.8732,112.5743,,DILA,master,,
208,PL000000000223,,丹丘,39.671704,113.725884,中國-山西省-大同市-渾源縣,DILA,master,,
209,PL000000000224,,淲池河,39.020067,112.912251,,DILA,master,,
210,PL000000000225,,錯河,39.839839,117.262817,,DILA,master,,
211,PL000000000226,,盧溝水,39.537376,116.973105,,DILA,master,,
212,PL000000000227,,清漳河,36.364301,113.884002,,DILA,master,,
213,PL000000000228,,鮑丘水,39.914637,116.703886,,DILA,master,,
214,PL000000000233,,北京市,39.904258,116.401667,中國-北京市,DILA,master,,
215,PL000000000237,,直隸省,39.9306,116.3779,中國-北京市,DILA,master,,
216,PL000000000239,,杲日寺,39.904258,116.401667,中國-北京市,DILA,master,,
217,PL000000000241,,慈寧宮,39.917692,116.388151,中國-北京市-市轄區-東城區,DILA,master,,
218,PL000000000243,,大興隆,39.905055,116.374639,中國-北京市-市轄區-西城區,DILA,master,,
219,PL000000000245,,松陰精舍,39.9306,116.378,中國-北京市-市轄區-西城區,DILA,master,,
220,PL000000000246,,皇極殿,39.915936,116.390636,中國-北京市-市轄區-東城區,DILA,master,,
221,PL000000000247,,廣慈蘭若,39.936722,116.399051,中國-北京市-市轄區-東城區,DILA,master,,
222,PL000000000248,,東城,39.928604,116.416336,中國-北京市-市轄區-東城區,DILA,master,,
223,PL000000000249,,承乾宮,39.919357,116.391754,中國-北京市-市轄區-東城區,DILA,master,,
224,PL000000000250,,乾清宮,39.918763,116.39069,中國-北京市-市轄區-東城區,DILA,master,,
225,PL000000000251,,大清門,39.928604,116.416336,中國-北京市-市轄區-東城區,DILA,master,,
226,PL000000000252,,文華殿,39.928604,116.416336,中國-北京市-市轄區-東城區,DILA,master,,
227,PL000000000253,,萬安寺,39.923793,116.35716,中國-北京市-市轄區-東城區,DILA,master,,
228,PL000000000254,,法華寺,39.920576,116.40812,中國-北京市-市轄區-東城區,DILA,master,,
229,PL000000000255,,柏林,39.944996,116.413714,中國-北京市-市轄區-東城區,DILA,master,,
230,PL000000000256,,報恩寺,39.942064,116.423381,中國-北京市-市轄區-東城區,DILA,master,,
231,PL000000000257,,圓寧寺,39.941134,116.423388,中國-北京市-市轄區-東城區,DILA,master,,
232,PL000000000258,,興隆寺,39.913741,116.384903,中國-北京市-市轄區-東城區,DILA,master,,
233,PL000000000259,,十方院,39.902378,116.426674,中國-北京市-市轄區-東城區,DILA,master,,
234,PL000000000260,,彌勒庵,39.892716,116.426036,中國-北京市-市轄區-東城區,DILA,master,,
235,PL000000000261,,崇恩福元,39.928604,116.416336,中國-北京市-市轄區-東城區,DILA,master,,
236,PL000000000262,,幽州,39.9197,116.3889,中國-北京市-市轄區-東城區,DILA,master,,
237,PL000000000263,,燕郡,39.9197,116.3889,中國-北京市-市轄區-東城區,DILA,master,,
238,PL000000000264,,薊縣,39.9197,116.3889,中國-北京市-市轄區-東城區,DILA,master,,
239,PL000000000265,,下崗兒,39.890778,116.419545,中國-北京市-市轄區-西城區,DILA,master,,
240,PL000000000266,,大善殿,39.917495,116.388176,中國-北京市-市轄區-西城區,DILA,master,,
241,PL000000000267,,北京,39.909163,116.379629,中國-北京市-市轄區-西城區,DILA,master,,
242,PL000000000268,,西城,39.910119,116.361004,中國-北京市-市轄區-西城區,DILA,master,,
243,PL000000000269,,廣寒殿,39.910958,116.359041,中國-北京市-市轄區-西城區,DILA,master,,
244,PL000000000270,,寶雲殿,39.910958,116.359041,中國-北京市-市轄區-西城區,DILA,master,,
245,PL000000000271,,竹林寺,39.910958,116.359041,中國-北京市-市轄區-西城區,DILA,master,,
246,PL000000000272,,平則門,39.910958,116.359041,中國-北京市-市轄區-西城區,DILA,master,,
247,PL000000000273,,健德門,39.94858,116.373301,中國-北京市-市轄區-西城區,DILA,master,,
