ex:monk/a_nan","Tôn Giả A Nan"
"ex:monk/kinh_trieu_me_ho","Kinh Triệu Mễ Hồ"
"ex:monk/kinh_trieu_ngoa_long","Kinh Triệu Ngọa Long"
"ex:monk/kinh_trieu_tam_tuong","Kinh Triệu Tam Tướng"
"ex:monk/kinh_trieu_thao_duong","Kinh Triệu Thảo Đường"
"ex:monk/kinh_trieu_thi_loi","Kinh Triệu Thi Lợi"
"ex:monk/ky_ngan_pho_minh","Kỳ Ngạn Phổ Minh"
"ex:monk/la_han_he_nam","La Hán Hệ Nam"
"ex:monk/la_han_que_sam","La Hán Quế Sâm"
"ex:monk/la_han_tong_triet","La Hán Tông Triệt"
"ex:monk/la_han_tri_y","La Hán Trí Y"
"ex:monk/la_han_uong_qua","La Hán Uông Quả"
"ex:monk/la_hau_la_da","Tôn Giả La Hầu La Da"
"ex:monk/la_phu_hien_nhu","La Phù Hiển Như"
"ex:monk/la_phu_hy","La Phù Hy"
"ex:monk/la_phu_vien","La Phù Viễn"
"ex:monk/la_son_dao_nhan","La Sơn Đạo Nhàn"
"ex:monk/la_son_nghia_nhan","La Sơn Nghĩa Nhân"
"ex:monk/la_son_nghia_thong","La Sơn Nghĩa Thông"
"ex:monk/la_son_thieu_du","La Sơn Thiệu Du"
"ex:monk/lac_dam_buu_long","Lặc Đàm Bửu Long"
"ex:monk/lac_dam_canh_tuong","Lặc Đàm Cảnh Tường"
"ex:monk/lac_dam_dao_khiem","Lặc Đàm Đạo Khiêm"
"ex:monk/lac_dam_dien_mau","Lặc Đàm Diên Mậu"
"ex:monk/lac_dam_duc_thuan","Lặc Đàm Ðức Thuần"
"ex:monk/lac_dam_duy_kien","Lặc Đàm Duy Kiến"
"ex:monk/lac_dam_hieu_nguyet","Lặc Đàm Hiểu Nguyệt"
"ex:monk/lac_dam_hong_anh","Lặc Đàm Hồng Anh"
"ex:monk/lac_dam_khac_van","Lặc Đàm Khắc Văn"
"ex:monk/lac_dam_phap_hoi","Lặc Đàm Pháp Hội"
"ex:monk/lac_dam_than_dang","Lặc Đàm Thần Đảng"
"ex:monk/lac_dam_thien_thanh","Lặc Đàm Thiện Thanh"
"ex:monk/lac_dam_thuong_hung","Lặc Đàm Thường Hưng"
"ex:monk/lac_dam_trach_minh","Lặc Đàm Trạch Minh"
"ex:monk/lac_dam_ung_can","Lặc Đàm Ứng Càn"
"ex:monk/lac_dam_van_chuan","Lặc Đàm Văn Chuẩn"
"ex:monk/lac_kinh_bach_coc","Lạc Kinh Bách Cốc"
"ex:monk/lac_kinh_hac_gian","Lạc Kinh Hắc Giản"
"ex:monk/lac_kinh_khe_hac","Lạc Kinh Khế Hạc"
"ex:monk/lac_kinh_nam_vien","Lạc Kinh Nam Viện"
"ex:monk/lac_pho_nguyen_an","Lạc Phổ Nguyên An"
"ex:monk/lam_duong_chi_doan","Lâm Dương Chí Đoan"
"ex:monk/lam_khe_canh_thoat","Lâm Khê Cảnh Thoát"
"ex:monk/lam_te_nghia_huyen","Bồ Đề Quang Dụng"
"ex:monk/lam_te_nghia_huyen","Lâm Tế Nghĩa Huyền"
"ex:monk/lam_tuyen_tung_luan","Lâm Tuyền Tùng Luân"
"ex:monk/lang_chau_co_de","Lãng Châu Cổ Đề"
"ex:monk/lang_chau_duc_son","Lãng Châu Đức Sơn"
"ex:monk/lang_chau_duc_son_hai","Lãng Châu Đức Sơn Hải"
"ex:monk/lang_chau_hoai_chinh","Lãng Châu Hoài Chính"
"ex:monk/lang_chau_ky_xa","Lãng Châu Kỳ Xà"
"ex:monk/lang_chau_luong_son_gian","Lãng Châu Lương Sơn Giản"
"ex:monk/lang_chau_thuong_khe_lan","Lãng Châu Thương Khê Lân"
"ex:monk/lang_da_vinh_khoi","Lang Da Vĩnh Khởi"
"ex:monk/lang_nha_phuong_duyet","Lang Nha Phương Duyệt"
"ex:monk/lang_nha_tri_thien","Lang Nha Trí Thiên"
"ex:monk/lang_nha_tue_giac","Lang Nha Tuệ Giác"
"ex:monk/lang_son_tue_on","Lang Sơn Tuệ Ôn"
"ex:monk/lao_na_tu_dang_dai_hoang","Lão Na Từ Đăng Đại Hoằng"
"ex:monk/lao_na_tu_dang_dai_hoang","Đại Hồng Tổ Chứng"
"ex:monk/lenh_nhan_minh_that","Ðạo Nhân Lệnh Nhân Minh Thất"
"ex:monk/liem_tuyen_dam_tu","Liêm Tuyền Ðàm Tú"
"ex:monk/lien_van_dao_nang","Liên Vân Ðạo Năng"
"ex:monk/lieu_dao_chi_tan","Liễu Đạo Chí Tân"
"ex:monk/lieu_dieu_chanh_quang","Liễu Diệu Chánh Quang"
"ex:monk/lieu_duc_hue_giao","Liễu Đức Huệ Giáo"
"ex:monk/lieu_kien_tu_hoa","Liễu Kiến Từ Hòa"
"ex:monk/lieu_minh","Liễu Minh"
"ex:monk/lieu_nang_uc_chat","Liễu Năng Ðức Chất"
"ex:monk/lieu_thong_hue_giam","Liễu Thông Huệ Giám"
"ex:monk/lieu_tri_hue_nhut","Liễu Trí Huệ Nhựt"
"ex:monk/lieu_triet_tu_minh","Liễu Triệt Từ Minh"
"ex:monk/linh_an_chi_thien","Linh Ẩn Chi Thiện"
"ex:monk/linh_an_dao_an","Linh Ẩn Ðạo Ấn"
"ex:monk/linh_an_duc_chuong","Linh Ẩn Ðức Chương"
"ex:monk/linh_an_duc_tu","Linh Ẩn Ðức Tư"
"ex:monk/linh_an_lieu_dien","Linh Ẩn Liễu Diễn"
"ex:monk/linh_an_sung_nhac","Linh Ẩn Sùng Nhạc"
"ex:monk/linh_an_thanh_tung","Linh Ẩn Thanh Tùng"
"ex:monk/linh_an_to_ngan","Linh Ẩn Tổ Ngân"
"ex:monk/linh_an_tue_vien","Linh Ẩn Tuệ Viễn"
"ex:monk/linh_an_van_thai","Linh Ẩn Văn Thái"
"ex:monk/linh_ban","Lĩnh Ban"
"ex:monk/linh_kieu","Linh Kiệu"
"ex:monk/linh_nham_lieu_tanh","Linh Nham Liễu Tánh"
"ex:monk/linh_nham_trong_xac","Linh Nham Trọng Xác"
"ex:monk/linh_nham_tue_tong","Linh Nham Tuệ Tông"
"ex:monk/linh_nham_ung","Linh Nham Ứng"
"ex:monk/linh_son_ban_ngon","Linh Sơn Bản Ngôn"
"ex:monk/linh_son_ngan_van","Linh Sơn Ngạn Văn"
"ex:monk/linh_thuu_tong_anh","Linh Thứu Tông Ánh"
"ex:monk/linh_thuu_tue_giac","Linh Thứu Tuệ Giác"
"ex:monk/linh_truc_thu_tran","Linh Trúc Thủ Trân"
"ex:monk/linh_tuyen_quy_nhan","Linh Tuyền Quy Nhân"
"ex:monk/linh_van_chi_can","Linh Vân Chí Cần"
"ex:monk/lo_chau_bac_thien_vuong_vi","Lô Châu Bắc Thiên Vương Vi"
"ex:monk/lo_chau_da_phu_son","Lô Châu Dã Phụ Sơn"
"ex:monk/lo_chau_huyen_vi","Lộ Châu Huyền Vi"
"ex:monk/lo_chau_thien_lai","Lỗ Châu Thiện Lai"
"ex:monk/lo_phu_ban_dinh_tong_man","Lộ Phủ Bàn Đình Tông Mẫn"
"ex:monk/lo_phu_dieu_thang_huyen_mat","Lộ Phủ Diệu Thắng Huyền Mật"
"ex:monk/lo_phu_dieu_thang_tran","Lộ Phủ Diệu Thắng Trăn"
"ex:monk/lo_son_hoai_huu","Lô Sơn Hoài Hựu"
"ex:monk/lo_son_phap_chan","Lô Sơn Pháp Chân"
"ex:monk/lo_son_tri_long_son_chu","Lô Sơn Trì Long Sơn Chủ"
"ex:monk/lo_thien_dien_khanh","Lô Thiên Diên Khánh"
"ex:monk/lo_thien_duc_minh","Lô Thiên Đức Minh"
"ex:monk/lo_to_bao_van","Lỗ Tổ Bảo Vân"
"ex:monk/loa_phong_xung_ao","Loa Phong Xung Áo"
"ex:monk/loc_mon_phap_ang","Lộc Môn Pháp Ðăng"
"ex:monk/loc_mon_tu_giac","Lộc Môn Tự Giác"
"ex:monk/loc_mon_tue_chieu","Lộc Môn Tuệ Chiêu"
"ex:monk/loc_mon_tue_chieu","Sơn Chủ Lộc Môn Tuệ Chiêu"
"ex:monk/loc_mon_xu_chan","Lộc Môn Xử Chân"
"ex:monk/loc_thanh","Lộc Thanh"
"ex:monk/loi_son","Lợi Sơn"
"ex:monk/long_an_nhu_hai","Long An Như Hải"
"ex:monk/long_an_the_nang","Long An Thế Năng"
"ex:monk/long_bang_am_quang","Long Bàng Ðàm Quảng"
"ex:monk/long_dam_sung_tin","Long Đàm Sùng Tín"
"ex:monk/long_dam_tri_vien","Long Đàm Trí Viên"
"ex:monk/long_ho_vuong_tieu","Cư Sĩ Long Hồ Vương Tiêu"
"ex:monk/long_hoa_ban","Long Hoa Bản"
"ex:monk/long_hoa_cao","Long Hoa Cao"
"ex:monk/long_hoa_chi_cau","Long Hoa Chí Cầu"
"ex:monk/long_hoa_dao_so","Long Hoa Ðạo Sơ"
"ex:monk/long_hoa_hieu_ngu","Long Hoa Hiểu Ngu"
"ex:monk/long_hoa_khe_doanh","Long Hoa Khế Doanh"
"ex:monk/long_hoa_linh_chieu","Long Hoa Linh Chiếu"
"ex:monk/long_hoa_te_nhac","Long Hoa Tề Nhạc"
"ex:monk/long_hoi_son_giam","Long Hội Sơn Giám"
"ex:monk/long_hung_duc_tan","Long Hưng Đức Tân"
"ex:monk/long_hung_ngo_khong","Long Hưng Ngộ Không"
"ex:monk/long_hung_su_dinh","Long Hưng Sư Ðịnh"
"ex:monk/long_hung_tong_tinh","Long Hưng Tông Tĩnh"
"ex:monk/long_khanh_khanh_nhan","Long Khánh Khánh Nhàn"
"ex:monk/long_minh_hien","Long Minh Hiền"
"ex:monk/long_mon_chieu","Long Môn Chiếu"
"ex:monk/long_mon_nam","Long Môn Nam"
"ex:monk/long_nha_cu_don","Long Nha Cư Độn"
"ex:monk/long_nha_tong_mat","Long Nha Tông Mật"
"ex:monk/long_nha_tri_tai","Long Nha Trí Tài"
"ex:monk/long_nha_vien_suong","Long Nha Viên Sướng"
"ex:monk/long_sach_dao_pho","Long Sách Đạo Phó"
"ex:monk/long_sach_tu_hung","Long Sách Tử Hưng"
"ex:monk/long_son_tri_tung","Long Sơn Trí Tung"
"ex:monk/long_son_van_nghia","Long Sơn Văn Nghĩa"
"ex:monk/long_te_thieu_tu","Long Tế Thiệu Tu"
"ex:monk/long_tho","Long Thọ"
"ex:monk/long_tho_thieu_khanh","Long Thọ Thiệu Khanh"
"ex:monk/long_tri_du","Long Trì Dự"
"ex:monk/long_tu_dao_an","Long Tu Đạo Ân"
"ex:monk/long_tuong_ao_huy","Long Tường Ðạo Huy"
"ex:monk/long_tuong_dao_huy","Long Tường Ðạo Huy"
"ex:monk/long_tuong_hy_lien","Long Tường Hy Liên"
"ex:monk/long_tuong_nam_nha","Long Tường Nam Nhã"
"ex:monk/long_tuong_si_khue","Long Tường Sĩ Khuê"
"ex:monk/long_tuyen_quy","Long Tuyền Quỳ"
"ex:monk/long_vuong_thien_tuy","Long Vương Thiện Tùy"
"ex:monk/long_vuong_van","Long Vương Vân"
"ex:monk/lu_chau_dai_giac","Lư Châu Đại Giác"
"ex:monk/lu_hang","Cư Sĩ Trung Thừa Lư Hàng"
"ex:monk/luat_su_phap_trieu","Luật sư Pháp Triều"
"ex:monk/luc_hop_dai_an","Lục Hợp Đại Ẩn"
"ex:monk/luc_thong_chi_cau","Lục Thông Chí Cầu"
"ex:monk/luc_thong_thai_chau_thieu","Lục Thông Thai Châu Thiệu"
"ex:monk/lung_chau_quoc_thanh_phung","Lũng Châu Quốc Thanh Phụng"
"ex:monk/lung_nhung_tri_vien","Lũng Nhung Trí Viên"
"ex:monk/luong_phong_dong_uyen","Lương Phong Ðộng Uyên"
"ex:monk/luong_son_duyen_quan","Lương Sơn Duyên Quán"
"ex:monk/luong_son_hoai","Lương Sơn Hoài"
"ex:monk/luong_son_su_vien","Lương Sơn Sư Viễn"
"ex:monk/luu_ngan_tu","Cư Sĩ Bảo Học Lưu Ngạn Tu"
"ex:monk/luu_thiet_ma","Lưu Thiết Ma"
"ex:monk/ly_binh","Cư sĩ Tham Chánh Lý Bính"
"ex:monk/ly_di_ton","Cư Sĩ Thị Lang Lý Di Tốn"
"ex:monk/ly_doan_nguyen","Cư Sĩ Tiết Sứ Lý Ðoan Nguyện"
"ex:monk/ly_doan_nguyen","Lý Ðoan Nguyện"
"ex:monk/ly_hao","Cư Sĩ Thị Lang Lý Hạo"
"ex:monk/ly_thon_tu_man","Ly Thôn Tự Mãn"
"ex:monk/ly_tuan_uc","Cư Sĩ Phù Mã Lý Tuân Úc"
"ex:monk/ly_tuan_uc","Lý Tuân Úc"
"ex:monk/ma_coc_bao_triet","Ma Cốc Bảo Triệt"
"ex:monk/ma_dau_than_tang","Mã Đầu Thần Tạng"
"ex:monk/ma_ha_ca_diep","Ma Ha Ca Diếp"
"ex:monk/ma_ha_ca_diep","Tôn Giả Ma Ha Ca Diếp"
"ex:monk/ma_minh","Mã Minh"
"ex:monk/ma_noa_la","Tôn Giả Ma Noa La"
"ex:monk/ma_to_dao_nhat","Mã Tổ Đạo Nhất"
"ex:monk/mac_tuong_thieu_hu","Cư Sĩ Mạc Tướng Thượng Thư Thiếu Hư"
"ex:monk/man_son_linh_ham","Mân Sơn Linh Hàm"
"ex:monk/mat_am_han_kiet","Mật Am Hàn Kiệt"
"ex:monk/mat_dien_de_ca","Mạt Điền Để Ca"
"ex:monk/mat_dien_de_ca","Tôn Giả Mạt Điền Để Ca"
"ex:monk/mat_son_lieu_nhien","Mạt Sơn Liễu Nhiên"
"ex:monk/mat_ung_huyen_co","Mật Ứng Huyền Cơ"
"ex:monk/mat_van_vien_ngo","Mật Vân Viên Ngộ"
"ex:monk/me_lanh","Mễ Lãnh"
"ex:monk/me_thuong","Mễ Thương"
"ex:monk/mi_chau_phuoc_hoa_quang","Mi Châu Phước Hóa Quang"
"ex:monk/mien_truc_dien_tue","Miên Trúc Diên Tuệ"
"ex:monk/minh_chau_quan_tong","Minh Châu Quán Tông"
"ex:monk/minh_chau_thien_dong_nghia","Minh Châu Thiên Đồng Nghĩa"
"ex:monk/minh_chieu_duc_khiem","Minh Chiêu Đức Khiêm"
"ex:monk/minh_giac_ky_phuong","Minh Giác Kỳ Phương"
"ex:monk/minh_hai_phap_bao","Minh Hải Pháp Bảo"
"ex:monk/minh_hang_dinh_nhien","Minh Hằng Định Nhiên"
"ex:monk/minh_hanh_tai_tai","Minh Hành Tại Tại"
"ex:monk/minh_hoang_tu_dung","Minh Hoàng Tử Dung"
"ex:monk/minh_khiem_hoang_an","Minh Khiêm Hoằng Ân"
"ex:monk/minh_khue_dao_hanh","Minh Khê Đạo Hạnh"
"ex:monk/minh_lieu_luc_hoa","Minh Liễu Lục Hòa"
"ex:monk/minh_ly_quang_an","Minh Lý Quảng An"
"ex:monk/minh_nhan_dam_ngoan","Minh Nhân Ðàm Ngoạn"
"ex:monk/minh_phung","Minh Phụng"
"ex:monk/minh_phuong_chon_huong","Minh Phương Chơn Hương"
"ex:monk/minh_thuy_hoai_trung","Minh Thủy Hoài Trung"
"ex:monk/minh_vat_nhut_tri","Minh Vật Nhứt Tri"
"ex:monk/minh_vi_mat_hanh","Minh Vi Mật Hạnh"
"ex:monk/moc_binh_thien_dao","Mộc Bình Thiện Đạo"
"ex:monk/moc_tran_tung_lang","Mộc Trần Tùng Lãng"
"ex:monk/mong_khe","Mông Khê"
"ex:monk/mong_son_hue_minh","Mông Sơn Huệ Minh"
"ex:monk/muc_chau_dao_minh","Mục Châu Đạo Minh"
"ex:monk/muc_chau_kinh_lien","Mục Châu Kỉnh Liên"
"ex:monk/muc_chau_tran_thao","Mục Châu Trần Thao"
"ex:monk/n_dieu_tue_tue_quang","N Diệu Tuệ Tuệ Quang"
"ex:monk/n_huong_son_phat_thong","N Hương Sơn Phật Thông"
"ex:monk/n_linh_chieu","N Linh Chiếu"
"ex:monk/n_tay_kinh_ao_tham","N Tây Kinh Ðạo Thâm"
"ex:monk/nam_an_nham_tu_nghiem","Nam An Nham Tự Nghiêm"
"ex:monk/nam_binh_vuong_chung_truyen","Nam Bình Vương Chung Truyền"
"ex:monk/nam_dai_dao_tuan","Nam Đài Đạo Tuân"
"ex:monk/nam_dai_duan_cung","Nam Đài Duẫn Cung"
"ex:monk/nam_dai_thu_an","Nam Đài Thủ An"
"ex:monk/nam_dang_phap_khong","Nam Đãng Pháp Không"
"ex:monk/nam_duong_hue_trung","Nam Dương Huệ Trung"
"ex:monk/nam_hoa_minh","Nam Hoa Minh"
"ex:monk/nam_hoa_tri_binh","Nam Hoa Tri Bính"
"ex:monk/nam_minh_dao_quang","Nam Minh Đạo Quảng"
"ex:monk/nam_nguyen_dao_minh","Nam Nguyên Đạo Minh"
"ex:monk/nam_nguyen_hanh_tu","Nam Nguyên Hành Tu"
"ex:monk/nam_nhac_duy_kinh","Nam Nhạc Duy Kính"
"ex:monk/nam_nhac_hoai_nhuong","Nam Nhạc Hoài Nhượng"
"ex:monk/nam_nhac_hoang_long","Nam Nhạc Hoàng Long"
"ex:monk/nam_nhac_huyen_thai","Nam Nhạc Huyền Thái"
"ex:monk/nam_nhac_minh_toan","Nam Nhạc Minh Toản"
"ex:monk/nam_nhac_minh_toan","Đạo Tuyên"
"ex:monk/nam_nhac_nam_dai","Nam Nhạc Nam Đài"
"ex:monk/nam_nhac_phap_chi","Nam Nhạc Pháp Chí"
"ex:monk/nam_nham_thang","Nam Nham Thắng"
"ex:monk/nam_phong_duy_quang","Nam Phong Duy Quảng"
"ex:monk/nam_phong_van_bien","Nam Phong Vân Biện"
"ex:monk/nam_phong_vinh_trinh","Nam Phong Vĩnh Trình"
"ex:monk/nam_te_tang_nhat","Nam Tế Tăng Nhất"
"ex:monk/nam_thap_quang_dung","Nam Tháp Quang Dũng"
"ex:monk/nam_thien_khe_phan","Nam Thiền Khế Phan"
"ex:monk/nam_thien_ngo_duyen","Nam Thiền Ngộ Duyên"
"ex:monk/nam_thien_vo_nhiem","Nam Thiền Vô Nhiễm"
"ex:monk/nam_thien_vuong_vinh_binh","Nam Thiên Vương Vĩnh Bình"
"ex:monk/nam_tuyen_pho_nguyen","Nam Tuyền Phổ Nguyện"
"ex:monk/nam_vien_hue_ngung","Nam Viện Huệ Ngung"
"ex:monk/nang_nhan_ly","Năng Nhân Lý"
"ex:monk/nang_nhan_sung_tho","Năng Nhân Sùng Thọ"
"ex:monk/nang_nhan_thieu_ngo","Năng Nhân Thiệu Ngộ"
"ex:monk/nang_nhan_to_nguyen","Năng Nhân Tổ Nguyên"
"ex:monk/nga_ho_dai_nghia","Nga Hồ Đại Nghĩa"
"ex:monk/nga_ho_thieu_thich","Nga Hồ Thiệu Thích"
"ex:monk/nga_ho_tri_phu","Nga Hồ Trí Phù"
"ex:monk/nga_ho_van_chan","Nga Hồ Vân Chấn"
"ex:monk/ngac_chau_hoang_long_nhan","Ngạc Châu Hoàng Long Nhân"
"ex:monk/ngac_chau_linh_truc","Ngạc Châu Linh Trúc"
"ex:monk/ngac_chau_phu_dung","Ngạc Châu Phù Dung"
"ex:monk/ngac_chau_vo_dang","Ngạc Châu Vô Đẳng"
"ex:monk/nghia_gioi","Nghĩa Giới"
"ex:monk/ngo_cu_hau","Cư Sĩ Xu Mật Ngô Cư Hậu"
"ex:monk/ngo_hung_phap_hai","Ngô Hưng Pháp Hải"
"ex:monk/ngo_tanh_phuoc_hue","Ngộ Tánh Phước Huệ"
"ex:monk/ngo_thap_tam","Ðạo Nhân Ngô Thập Tam"
"ex:monk/ngo_thap_tam","Đạo nhân Ngô Thập Tam"
"ex:monk/ngo_thieu_minh_ly","Ngộ Thiệu Minh Lý"
"ex:monk/ngo_tu_tam_khong","Ngộ Tu Tâm Không"
"ex:monk/ngo_tuan","Cư Sĩ Bí Thư Ngô Tuân"
"ex:monk/ngo_tuan","Ngô Tuân"
"ex:monk/ngo_vi_minh","Cư Sĩ Ðề Hình Ngô Vĩ Minh"
"ex:monk/ngoc_son_su_the","Ngọc Sơn Sư Thể"
"ex:monk/ngoc_tuyen_dam_y","Ngọc Tuyền Ðàm Ý"
"ex:monk/ngoc_tuyen_ngo_khong","Ngọc Tuyền Ngộ Không"
"ex:monk/ngoc_tuyen_than_tu","Ngọc Tuyền Thần Tú"
"ex:monk/ngoc_tuyen_thien_sieu","Ngọc Tuyền Thiên Siêu"
"ex:monk/ngoc_tuyen_tong_lien","Ngọc Tuyền Tông Liên"
"ex:monk/ngoc_tuyen_vi_phuong","Ngọc Tuyền Vị Phương"
"ex:monk/ngu_dai_an_phong","Ngũ Đài Ẩn Phong"
"ex:monk/ngu_dai_cu_phuong","Ngũ Đài Cự Phương"
"ex:monk/ngu_dai_tri_thong","Ngũ Đài Trí Thông"
"ex:monk/ngu_due_linh_mac","Ngũ Duệ Linh Mặc"
"ex:monk/ngu_phong_ban","Ngũ Phong Bản"
"ex:monk/ngu_phong_hanh_ke","Ngũ Phong Hành Kế"
"ex:monk/ngu_phong_thuong_quan","Ngũ Phong Thường Quán"
"ex:monk/ngu_to_bieu_tu","Ngũ Tổ Biểu Tự"
"ex:monk/ngu_to_hieu_thuong","Ngũ Tổ Hiểu Thường"
"ex:monk/ngu_to_phap_dien","Ngũ Tổ Pháp Diễn"
"ex:monk/ngung_nhien_lieu_cai","Ngưng Nhiên Liễu Cải"
"ex:monk/nguong_son_dong_thap","Ngưỡng Sơn Đông Tháp"
"ex:monk/nguong_son_hanh_vy","Ngưỡng Sơn Hạnh Vỹ"
"ex:monk/nguong_son_hue_tich","Ngưỡng Sơn Huệ Tịch"
"ex:monk/nguong_son_huu_an","Ngưỡng Sơn Hữu Ân"
"ex:monk/nguong_son_luong_cung","Ngưỡng Sơn Lương Cúng"
"ex:monk/nguong_son_quy","Ngưỡng Sơn Quý"
"ex:monk/nguong_son_thanh_gian","Ngưỡng Sơn Thanh Giản"
"ex:monk/nguu_dau_hue_phuong","Ngưu Đầu Huệ Phương"
"ex:monk/nguu_dau_hue_trung","Ngưu Đầu Huệ Trung"
"ex:monk/nguu_dau_phap_dung","Ngưu Đầu Pháp Dung"
"ex:monk/nguu_dau_tri_nham","Ngưu Đầu Trí Nham"
"ex:monk/nguu_dau_tri_oai","Ngưu Đầu Trí Oai"
"ex:monk/nguyen_cao_man_giac","Nguyên Cao Mãn Giác"
"ex:monk/nguyen_chanh_minh_bon","Nguyên Chánh Minh Bổn"
"ex:monk/nguyen_dinh_duc_tri","Nguyên Định Đức Trì"
"ex:monk/nguyen_giac_quang_phu","Nguyên Giác Quang Phú"
"ex:monk/nguyen_khiet_tinh_oanh","Nguyên Khiết Tịnh Oánh"
"ex:monk/nguyen_khong_tu_phuong","Nguyên Không Từ Phương"
"ex:monk/nguyen_le","Nguyên Lễ"
"ex:monk/nguyen_minh_duc_thieu","Nguyên Minh Đức Thiệu"
"ex:monk/nguyen_minh_huyen_giac","Nguyên Minh Huyền Giác"
"ex:monk/nguyen_minh_phuoc_thanh","Nguyên Minh Phước Thành"
"ex:monk/nguyen_nguyen_tam_huong","Nguyên Nguyện Tâm Hướng"
"ex:monk/nguyen_phuoc_quang_the","Nguyên Phước Quang Thể"
"ex:monk/nguyen_phuoc_thien_hy","Nguyên Phước Thiên Hỷ"
"ex:monk/nguyen_quang_huyen_khanh","Nguyên Quang Huyền Khánh"
"ex:monk/nguyen_tanh_duc_tam","Nguyên Tánh Đức Tâm"
"ex:monk/nguyen_thien_dao_dung","Nguyên Thiện Đạo Dung"
"ex:monk/nguyen_thieu_sieu_bach","Nguyên Thiều Siêu Bạch"
"ex:monk/nguyen_thieu_tho_tong","Nguyên Thiều Thọ Tông"
"ex:monk/nguyen_thuan_duc_tanh","Nguyên Thuận Đức Tánh"
"ex:monk/nguyen_tin_chau_duc","Nguyên Tín Châu Đức"
"ex:monk/nguyen_tri_chau_toan","Nguyên Trí Châu Toàn"
"ex:monk/nguyen_truyen_huyen_phong","Nguyên Truyền Huyền Phong"
"ex:monk/nguyen_tue_dieu_dinh","Nguyên Tuệ Diệu Định"
"ex:monk/nguyen_tuyet_nhu_y","Nguyên Tuyết Như Ý"
"ex:monk/nguyen_y_phuoc_chau","Nguyên Ý Phước Châu"
"ex:monk/nguyet_chau_than_giam","Nguyệt Châu Thần Giám"
"ex:monk/nguyet_chu_van_tai","Nguyệt Chu Văn Tải"
"ex:monk/nguyet_chuong_tri_uyen","Bảo Ninh Nhân Dũng"
"ex:monk/nguyet_chuong_tri_uyen","Nguyệt Chưởng Trí Uyên"
"ex:monk/nguyet_danh_dao_luan","Nguyệt Đảnh Ðạo Luân"
"ex:monk/nguyet_khe_dieu_trung","Nguyệt Khê Diệu Trừng"
"ex:monk/nhac_loc_khue","Nhạc Lộc Khuê"
"ex:monk/nhac_son_am_chu_to","Nhạc Sơn Am Chủ Tổ"
"ex:monk/nham_dau_toan_khoat","Nham Đầu Toàn Khoát"
"ex:monk/nhan_tho_tu_tran","Nhân Thọ Từ Trân"
"ex:monk/nhan_vuong_duyen_thang","Nhân Vương Duyên Thắng"
"ex:monk/nhat_cu_tri_giao","Nhất Cú Trí Giáo"
"ex:monk/nhat_dung","Nhật Dung"
"ex:monk/nhat_tu","Nhật Tử"
"ex:monk/nhi_linh_tri_hoa","Am Chủ Nhị Linh Tri Hòa"
"ex:monk/nhi_tuong_hanh_tu","Nhĩ Tướng Hành Tu"
"ex:monk/nhieu_chau_chi_lanh_chieu","Nhiêu Châu Chi Lãnh Chiếu"
"ex:monk/nhu_ac_thien_phuong","Như Ðắc Thiền Phương"
"ex:monk/nhu_ai_hoang_tham","Như Ái Hoằng Thâm"
"ex:monk/nhu_an_hue_man","Như An Huệ Mãn"
"ex:monk/nhu_an_huyen_quang","Như An Huyền Quang"
"ex:monk/nhu_an_tri_nguyen","Như Ân Trí Nguyện"
"ex:monk/nhu_ang_tri_o","Như Ðăng Trí Ðộ"
"ex:monk/nhu_binh_huyen_tinh","Như Bình Huyền Tịnh"
"ex:monk/nhu_binh_tri_tanh","Như Bình Trí Tánh"
"ex:monk/nhu_but_tanh_chau","Như Bút Tánh Châu"
"ex:monk/nhu_buu_dat_thanh","Như Bửu Đạt Thanh"
"ex:monk/nhu_cam_giac_chon","Như Cẩm Giác Chơn"
"ex:monk/nhu_cam_giac_chon","Như Tín Giác Chánh"
"ex:monk/nhu_cam_tri_tich","Như Cam Trí Tích"
"ex:monk/nhu_cang_giai_hai","Như Cang Giải Hải"
"ex:monk/nhu_chanh_huyen_tan","Như Chánh Huyền Tấn"
"ex:monk/nhu_chau_bao_ung","Nhữ Châu Bảo Ứng"
"ex:monk/nhu_chau_nam_vien","Nhữ Châu Nam Viện"
"ex:monk/nhu_chi_giac_tu","Như Chí Giác Từ"
"ex:monk/nhu_chon_tri_dinh","Như Chơn Trí Dinh"
"ex:monk/nhu_dac_tri_nghia","Như Đắc Trí Nghĩa"
"ex:monk/nhu_dac_tu_nhan","Như Đắc Từ Nhẫn"
"ex:monk/nhu_dai_giac_vien","Như Đài Giác Viên"
"ex:monk/nhu_dam_hue_luan","Như Đàm Huệ Luận"
"ex:monk/nhu_dang_tri_tan","Như Đăng Trí Tấn"
"ex:monk/nhu_danh_hoang_tu","Như Danh Hoằng Tu"
"ex:monk/nhu_dat_giac_hoang","Như Đạt Giác Hoàng"
"ex:monk/nhu_dat_hoang_tham","Như Đạt Hoằng Thâm"
"ex:monk/nhu_dat_thien_cang","Như Đạt Thiện Cang"
"ex:monk/nhu_dien_hue_chan","Như Ðiền Huệ Chấn"
"ex:monk/nhu_dien_tri_tam","Như Điển Trí Tâm"
"ex:monk/nhu_dieu_vien_nhu","Như Diệu Viên Như"
"ex:monk/nhu_dong_dac_quang","Như Đồng Đắc Quang"
