ex:monk/a_nan","Tôn Giả A Nan"
"ex:monk/bao_tu_tan_anh","Báo Từ Tấn Anh"
"ex:monk/bao_tu_tue_lang","Báo Từ Tuệ Lãng"
"ex:monk/bao_tu_tung_hoai","Báo Từ Tùng Hoài"
"ex:monk/bao_tu_van_kham","Báo Từ Văn Khâm"
"ex:monk/bao_tu_van_toai","Báo Từ Văn Toại"
"ex:monk/bao_ung_phap_chieu","Bảo Ứng Pháp Chiêu"
"ex:monk/bat_nha_da_la","Tôn Giả Bát Nhã Đa La"
"ex:monk/bat_nha_khai_nhu","Bát Nhã Khải Nhu"
"ex:monk/bat_nha_kinh_tuan","Bát Nhã Kỉnh Tuân"
"ex:monk/bat_nha_thien_doan","Bát Nhã Thiện Ðoan"
"ex:monk/bat_nha_tung_tan","Bát Nhã Tùng Tấn"
"ex:monk/bat_nhu_mat_da","Tôn Giả Bất Như Mật Đa"
"ex:monk/bich_phong_tanh_kim","Bích Phong Tánh Kim"
"ex:monk/bich_thien_thanh_khong","Bích Thiên Thanh Không"
"ex:monk/bien_dam_hieu_lieu","Biển Đam Hiểu Liễu"
"ex:monk/bien_dam_hieu_lieu","Tây Vực Quật Đa Tam Tạng"
"ex:monk/bo_de_dat_ma","Tôn Giả Bồ Đề Đạt Ma"
"ex:monk/bo_de_quang_dung","Bồ Đề Quang Dụng"
"ex:monk/bo_tat_long_tho","Bồ Tát Long Thọ"
"ex:monk/bo_tat_long_tho_klusgrub","Klu-sgrub"
"ex:monk/bo_tat_long_tho_long_manh","Long Mãnh"
"ex:monk/bo_tat_long_tho_long_shu","龍樹"
"ex:monk/bo_tat_long_tho_long_thang","Long Thăng"
"ex:monk/bo_tat_long_tho_nagarjuna","Nāgārjuna"
"ex:monk/bo_tat_long_tho_ryuju","Ryūju"
"ex:monk/bo_tat_long_tho_thien_su","Thiền sư"
"ex:monk/bo_tat_ma_minh","Bồ Tát Mã Minh"
"ex:monk/bo_tat_ma_minh_asvaghosa","aśvaghoṣa"
"ex:monk/bo_tat_ma_minh_cong_thang","Công Thắng"
"ex:monk/bo_tat_ma_minh_ma_ming","馬鳴"
"ex:monk/bo_tat_ma_minh_rtadbyans","Rta-dbyans"
"ex:monk/bon_binh_dao_dat","Bổn Bình Đạo Đạt"
"ex:monk/bon_dong","Bổn Đồng"
"ex:monk/bon_khe","Bổn Khê"
"ex:monk/bon_luong","Bổn Lượng"
"ex:monk/bon_qua_khoang_vien","Bổn Quả Khoáng Viên"
"ex:monk/bon_tri_minh_giac","Bổn Trí Minh Giác"
"ex:monk/bon_tru","Bổn Trú"
"ex:monk/bong_lai_khanh","Bồng Lai Khanh"
"ex:monk/bong_lai_vien","Bồng Lai Viên"
"ex:monk/bui_huu","Tướng Quốc Bùi Hưu"
"ex:monk/ca_na_de_ba","Tôn Giả Ca Na Đề Bà"
"ex:monk/ca_ty_ma_la","Tôn Giả Ca Tỳ Ma La"
"ex:monk/cac_chau_thu_son","Các Châu Thự Sơn"
"ex:monk/cam_dam_tu_quoc","Cảm Đàm Tư Quốc"
"ex:monk/cam_thanh","Cảm Thành"
"ex:monk/can_le","Cận Lễ"
"ex:monk/can_minh_co_thong","Càn Minh Cơ Thông"
"ex:monk/can_nguyen_tong_dinh","Càn Nguyên Tông Dĩnh"
"ex:monk/can_nguyen_vien","Càn Nguyên Viên"
"ex:monk/can_phong_vien_tue","Càn Phong Viên Tuệ"
"ex:monk/can_tu_son_sung_hue","Cân Tử Sơn Sùng Huệ"
"ex:monk/canh_han_dung_tuyen","Cảnh Hân Dũng Tuyền"
"ex:monk/canh_phuoc_nhat_du","Cảnh Phước Nhật Dư"
"ex:monk/canh_phuoc_tinh_duyet","Cảnh Phước Tỉnh Duyệt"
"ex:monk/canh_son_cu","Cảnh Sơn Cư"
"ex:monk/canh_thanh_cu_to","Cảnh Thanh Cư Tố"
"ex:monk/cao_am_vien_thanh","Cao Am Viên Thanh"
